Start	End	Direction	Weight
hsa:1163	hsa:6502	0	1
hsa:1163	hsa:1164	0	1
hsa:1164	hsa:6502	0	1
hsa:4792	hsa:4790	0	1
hsa:4792	hsa:5970	0	1
hsa:1871	hsa:5925	0	1
hsa:7188	hsa:7189	0	1
hsa:7188	hsa:9618	0	1
hsa:1869	hsa:1870	0	1
hsa:1869	hsa:5925	0	1
hsa:1869	hsa:1871	0	1
hsa:7189	hsa:9618	0	1
hsa:1870	hsa:5925	0	1
hsa:1870	hsa:1871	0	1
hsa:7186	hsa:7188	0	1
hsa:7186	hsa:7187	0	1
hsa:7186	hsa:9618	0	1
hsa:7186	hsa:7189	0	1
hsa:1021	hsa:5925	0	1
hsa:7185	hsa:7186	0	1
hsa:7185	hsa:7188	0	1
hsa:7185	hsa:7187	0	1
hsa:7185	hsa:9618	0	1
hsa:7185	hsa:7189	0	1
hsa:7187	hsa:7189	0	1
hsa:7187	hsa:7188	0	1
hsa:7187	hsa:9618	0	1
hsa:1019	hsa:5925	0	1
hsa:1019	hsa:1021	0	1
hsa:9134	hsa:1017	0	1
hsa:5970	hsa:5743	0	1
hsa:5970	hsa:4843	0	1
hsa:5970	hsa:7186	0	1
hsa:5970	hsa:7185	0	1
hsa:5970	hsa:7188	0	1
hsa:5970	hsa:7187	0	1
hsa:5970	hsa:9618	0	1
hsa:5970	hsa:7189	0	1
hsa:5970	hsa:112401	0	1
hsa:5970	hsa:598	0	1
hsa:5970	hsa:330	0	1
hsa:5970	hsa:329	0	1
hsa:5970	hsa:79444	0	1
hsa:5970	hsa:331	0	1
hsa:5970	hsa:595	0	1
hsa:1027	hsa:9134	0	1
hsa:1027	hsa:898	0	1
hsa:6502	hsa:1027	0	1
hsa:4790	hsa:4843	0	1
hsa:4790	hsa:5970	0	1
hsa:4790	hsa:7185	0	1
hsa:4790	hsa:5743	0	1
hsa:4790	hsa:7187	0	1
hsa:4790	hsa:7186	0	1
hsa:4790	hsa:7189	0	1
hsa:4790	hsa:7188	0	1
hsa:4790	hsa:598	0	1
hsa:4790	hsa:9618	0	1
hsa:4790	hsa:329	0	1
hsa:4790	hsa:112401	0	1
hsa:4790	hsa:331	0	1
hsa:4790	hsa:330	0	1
hsa:4790	hsa:595	0	1
hsa:4790	hsa:79444	0	1
hsa:898	hsa:1017	0	1
hsa:898	hsa:9134	0	1
hsa:1030	hsa:595	0	1
hsa:595	hsa:1019	0	1
hsa:595	hsa:1021	0	1
hsa:331	hsa:79444	0	1
hsa:329	hsa:331	0	1
hsa:329	hsa:330	0	1
hsa:329	hsa:79444	0	1
hsa:112401	hsa:330	0	1
hsa:112401	hsa:329	0	1
hsa:112401	hsa:79444	0	1
hsa:112401	hsa:331	0	1
hsa:330	hsa:331	0	1
hsa:330	hsa:79444	0	1
hsa:208	hsa:1147	0	1
hsa:208	hsa:8517	0	1
hsa:208	hsa:3551	0	1
hsa:207	hsa:208	0	1
hsa:207	hsa:3551	0	1
hsa:207	hsa:1147	0	1
hsa:207	hsa:8517	0	1
hsa:10000	hsa:208	0	1
hsa:10000	hsa:207	0	1
hsa:10000	hsa:3551	0	1
hsa:10000	hsa:1147	0	1
hsa:10000	hsa:8517	0	1
hsa:1017	hsa:5925	0	1
hsa:8517	hsa:4792	0	1
hsa:4149	hsa:4609	0	1
hsa:1147	hsa:3551	0	1
hsa:1147	hsa:4792	0	1
hsa:1147	hsa:8517	0	1
hsa:4609	hsa:1163	0	1
hsa:4609	hsa:7709	0	1
hsa:4609	hsa:1164	0	1
hsa:4609	hsa:595	0	1
hsa:7709	hsa:1030	0	1
hsa:3551	hsa:4792	0	1
hsa:3551	hsa:8517	0	1
