Start	End	Direction	Weight
hsa:7170	hsa:7175	0	1
hsa:7170	hsa:3845	0	1
hsa:7170	hsa:3265	0	1
hsa:7170	hsa:4893	0	1
hsa:7175	hsa:4893	0	1
hsa:7175	hsa:3845	0	1
hsa:7175	hsa:3265	0	1
hsa:10342	hsa:7170	0	1
hsa:10342	hsa:4914	0	1
hsa:10342	hsa:3265	0	1
hsa:10342	hsa:7175	0	1
hsa:10342	hsa:4893	0	1
hsa:10342	hsa:3845	0	1
hsa:8031	hsa:3265	0	1
hsa:8031	hsa:4893	0	1
hsa:8031	hsa:3845	0	1
hsa:4914	hsa:7175	0	1
hsa:4914	hsa:7170	0	1
hsa:4914	hsa:3845	0	1
hsa:4914	hsa:3265	0	1
hsa:4914	hsa:4893	0	1
hsa:5979	hsa:8031	0	1
hsa:5979	hsa:8030	0	1
hsa:5979	hsa:3845	0	1
hsa:5979	hsa:3265	0	1
hsa:5979	hsa:4893	0	1
hsa:8030	hsa:8031	0	1
hsa:8030	hsa:3845	0	1
hsa:8030	hsa:3265	0	1
hsa:8030	hsa:4893	0	1
hsa:5594	hsa:5595	0	1
hsa:5605	hsa:5594	0	1
hsa:5605	hsa:5595	0	1
hsa:5604	hsa:5594	0	1
hsa:5604	hsa:5605	0	1
hsa:5604	hsa:5595	0	1
hsa:673	hsa:5605	0	1
hsa:673	hsa:5604	0	1
hsa:3845	hsa:4893	0	1
hsa:3845	hsa:673	0	1
hsa:4893	hsa:673	0	1
hsa:3265	hsa:4893	0	1
hsa:3265	hsa:3845	0	1
hsa:3265	hsa:673	0	1
