Start	End	Direction	Weight
hsa:7474	hsa:7475	0	1
hsa:7474	hsa:7476	0	1
hsa:7474	hsa:7477	0	1
hsa:7474	hsa:7478	0	1
hsa:7474	hsa:7479	0	1
hsa:7474	hsa:7480	0	1
hsa:7474	hsa:7481	0	1
hsa:7474	hsa:7482	0	1
hsa:7474	hsa:7483	0	1
hsa:7474	hsa:7484	0	1
hsa:7474	hsa:80326	0	1
hsa:7474	hsa:81029	0	1
hsa:7474	hsa:89780	0	1
hsa:7474	hsa:4040	0	1
hsa:7474	hsa:4041	0	1
hsa:6932	hsa:6934	0	1
hsa:6932	hsa:83439	0	1
hsa:6932	hsa:595	0	1
hsa:6932	hsa:4609	0	1
hsa:51176	hsa:6932	0	1
hsa:51176	hsa:6934	0	1
hsa:51176	hsa:83439	0	1
hsa:51176	hsa:595	0	1
hsa:51176	hsa:4609	0	1
hsa:7475	hsa:7476	0	1
hsa:7475	hsa:7477	0	1
hsa:7475	hsa:7478	0	1
hsa:7475	hsa:7479	0	1
hsa:7475	hsa:7480	0	1
hsa:7475	hsa:7481	0	1
hsa:7475	hsa:7482	0	1
hsa:7475	hsa:7483	0	1
hsa:7475	hsa:7484	0	1
hsa:7475	hsa:80326	0	1
hsa:7475	hsa:81029	0	1
hsa:7475	hsa:89780	0	1
hsa:7475	hsa:4040	0	1
hsa:7475	hsa:4041	0	1
hsa:6934	hsa:83439	0	1
hsa:6934	hsa:595	0	1
hsa:6934	hsa:4609	0	1
hsa:7472	hsa:7473	0	1
hsa:7472	hsa:7474	0	1
hsa:7472	hsa:7475	0	1
hsa:7472	hsa:7476	0	1
hsa:7472	hsa:7477	0	1
hsa:7472	hsa:7478	0	1
hsa:7472	hsa:7479	0	1
hsa:7472	hsa:7480	0	1
hsa:7472	hsa:7481	0	1
hsa:7472	hsa:7482	0	1
hsa:7472	hsa:7483	0	1
hsa:7472	hsa:7484	0	1
hsa:7472	hsa:80326	0	1
hsa:7472	hsa:81029	0	1
hsa:7472	hsa:89780	0	1
hsa:7472	hsa:4040	0	1
hsa:7472	hsa:4041	0	1
hsa:7473	hsa:7474	0	1
hsa:7473	hsa:7475	0	1
hsa:7473	hsa:7476	0	1
hsa:7473	hsa:7477	0	1
hsa:7473	hsa:7478	0	1
hsa:7473	hsa:7479	0	1
hsa:7473	hsa:7480	0	1
hsa:7473	hsa:7481	0	1
hsa:7473	hsa:7482	0	1
hsa:7473	hsa:7483	0	1
hsa:7473	hsa:7484	0	1
hsa:7473	hsa:80326	0	1
hsa:7473	hsa:81029	0	1
hsa:7473	hsa:89780	0	1
hsa:7473	hsa:4040	0	1
hsa:7473	hsa:4041	0	1
hsa:54361	hsa:7471	0	1
hsa:54361	hsa:7472	0	1
hsa:54361	hsa:7473	0	1
hsa:54361	hsa:7474	0	1
hsa:54361	hsa:7475	0	1
hsa:54361	hsa:7476	0	1
hsa:54361	hsa:7477	0	1
hsa:54361	hsa:7478	0	1
hsa:54361	hsa:7479	0	1
hsa:54361	hsa:7480	0	1
hsa:54361	hsa:7481	0	1
hsa:54361	hsa:7482	0	1
hsa:54361	hsa:7483	0	1
hsa:54361	hsa:7484	0	1
hsa:54361	hsa:80326	0	1
hsa:54361	hsa:81029	0	1
hsa:54361	hsa:89780	0	1
hsa:54361	hsa:4040	0	1
hsa:54361	hsa:4041	0	1
hsa:2475	hsa:6198	0	1
hsa:2475	hsa:6199	0	1
hsa:51384	hsa:54361	0	1
hsa:51384	hsa:7471	0	1
hsa:51384	hsa:7472	0	1
hsa:51384	hsa:7473	0	1
hsa:51384	hsa:7474	0	1
hsa:51384	hsa:7475	0	1
hsa:51384	hsa:7476	0	1
hsa:51384	hsa:7477	0	1
hsa:51384	hsa:7478	0	1
hsa:51384	hsa:7479	0	1
hsa:51384	hsa:7480	0	1
hsa:51384	hsa:7481	0	1
hsa:51384	hsa:7482	0	1
hsa:51384	hsa:7483	0	1
hsa:51384	hsa:7484	0	1
hsa:51384	hsa:80326	0	1
hsa:51384	hsa:81029	0	1
hsa:51384	hsa:89780	0	1
hsa:51384	hsa:4040	0	1
hsa:51384	hsa:4041	0	1
hsa:7471	hsa:7472	0	1
hsa:7471	hsa:7473	0	1
hsa:7471	hsa:7474	0	1
hsa:7471	hsa:7475	0	1
hsa:7471	hsa:7476	0	1
hsa:7471	hsa:7477	0	1
hsa:7471	hsa:7478	0	1
hsa:7471	hsa:7479	0	1
hsa:7471	hsa:7480	0	1
